"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
28202196,"PT","PT1","PT11","PT11C",c(-8.023889996, 41.24276057)
28202386,"ES","ES1","ES11","ES111",c(-8.537121382, 42.90230569)
28222270,"ES","ES1","ES11","ES113",c(-8.19578408, 41.89422623)
28222342,"ES","ES1","ES11","ES114",c(-8.391134376, 42.52296311)
28222360,"ES","ES1","ES11","ES114",c(-8.440837182, 42.67999966)
28222378,"ES","ES1","ES11","ES111",c(-8.490892704, 42.83697702)
28241938,"PT","PT1","PT18","PT186",c(-7.339146943, 38.98697265)
28242028,"PT","PT1","PT16","PT16H",c(-7.55474573, 39.77823109)
28242042,"PT","PT1","PT16","PT16H",c(-7.588942545, 39.90118363)
28242186,"PT","PT1","PT11","PT11C",c(-7.951418364, 41.16377719)
28242240,"PT","PT1","PT11","PT119",c(-8.092577054, 41.63628119)
28261954,"PT","PT1","PT18","PT186",c(-7.354370566, 39.13185668)
28261972,"PT","PT1","PT18","PT186",c(-7.397116118, 39.29018526)
28262056,"PT","PT1","PT16","PT16H",c(-7.600453995, 40.0282755)
28262080,"PT","PT1","PT16","PT16J",c(-7.659742483, 40.23892377)
28262098,"PT","PT1","PT16","PT16J",c(-7.704563866, 40.39684159)
28262288,"PT","PT1","PT11","PT111",c(-8.19698605, 42.06017685)
28262354,"ES","ES1","ES11","ES114",c(-8.376691089, 42.63643594)
28281952,"PT","PT1","PT18","PT186",c(-7.327065208, 39.11836279)
28282006,"ES","ES4","ES43","ES432",c(-7.45592171, 39.59322669)
28282042,"PT","PT1","PT16","PT16H",c(-7.543287973, 39.90950945)
28282118,"PT","PT1","PT16","PT16G",c(-7.731676108, 40.57644828)
28282136,"PT","PT1","PT16","PT16G",c(-7.777096453, 40.73425467)
28282190,"PT","PT1","PT11","PT11C",c(-7.915247279, 41.20732272)
28282334,"ES","ES1","ES11","ES113",c(-8.298033609, 42.46625999)
28301732,"ES","ES6","ES61","ES615",c(-6.805977859, 37.18221435)
28301756,"ES","ES6","ES61","ES615",c(-6.858424314, 37.39430662)
