"POINTID","pH_CaCl2","pH_H2O","EC","OC","CaCO3","P","N","K","Ox_Al","Ox_Fe","Elev","LC","LC_0","LU","BDsample_0","coarse_mas","geometry"
48242800,7.5,8.2,17.68,19.2,36,NA,1.9,199.5,NA,NA,191,"B33","B","U111",1.276,0.12,c(16.76163138, 48.10616571)
48242890,7.5,8.19,19.71,20.1,101,28.2,1.8,408.5,NA,NA,230,"B16","B","U111",1.4495,0.12,c(16.87148961, 48.9118739)
48243208,5.9,6.49,9.03,9.4,NA,77.5,1.2,163.8,NA,NA,164,"B18","B","U111",1.688,0.06,c(17.29851132, 51.75559311)
48244900,3.7,4.4,10.17,448.8,NA,31.1,16.1,350.9,NA,NA,300,"C33","C","U420",0.086,0.02,c(21.41904107, 66.84120101)
48263042,5.8,6.03,12.84,60.8,NA,NA,4.7,94,NA,NA,506,"C10","C","U120",0.842,0.1,c(17.09557654, 50.26996536)
48263050,4.8,5.58,4.95,11.6,NA,36.3,1.2,109.7,2.5,3.9,336,"B11","B","U111",1.5615,0.16,c(17.10633137, 50.34150216)
48263072,5.2,5.61,15.92,14.9,NA,18.4,1.7,105.7,NA,NA,341,"B11","B","U111",0.872,0.05,c(17.13611722, 50.53821368)
48263276,4,4.7,3.96,9.7,NA,31.7,0.8,12.9,NA,NA,151,"C32","C","U120",1.341,0.08,c(17.42780123, 52.36130963)
48264962,4.6,5.36,12.5,451.4,NA,34.1,13.9,451.7,NA,NA,348,"C23","C","U420",0.07,0,c(21.72341036, 67.38984077)
48282506,7.2,7.59,14.47,23.7,13,18.6,2.5,134.1,NA,NA,142,"E30","E","U420",1.054,0.01,c(16.48274977, 45.46778894)
48282884,7.5,8.39,16.33,11.9,75,NA,1.1,233,NA,NA,189,"B75","B","U113",1.4285,0.07,c(16.91832421, 48.85481169)
48282902,7.3,7.98,22.7,18.3,117,12.6,1.7,166.1,0.3,0.3,200,"B16","B","U111",1.3615,0.07,c(16.9409533, 49.01589545)
48283352,3.9,4.31,7.45,13,NA,21.5,0.9,25.3,NA,NA,117,"C22","C","U120",1.1,0.03,c(17.57381488, 53.03823366)
48302874,7.7,8.34,19.63,14.7,47,NA,1.7,209.3,0.8,0.9,152,"B16","B","U111",1.359,0.06,c(16.93293113, 48.76362629)
48303040,3.7,3.99,14.62,67.9,NA,30.2,4.6,72.9,NA,NA,629,"C21","C","U120",0.7445,0.2,c(17.14875373, 50.24859235)
48304692,3.1,3.71,6.74,121.1,NA,11.8,3.1,53.7,NA,NA,175,"C33","C","U120",0.2935,0.35,c(20.76078605, 64.9812446)
48304706,4,4.59,2.77,16.3,NA,NA,0.6,16.4,NA,NA,179,"C22","C","U120",1.1455,0.1,c(20.81029367, 65.10586889)
48304768,3.6,4.26,9.32,89.7,NA,34.5,3.7,142.9,NA,NA,27,"C31","C","U120",0.432,0.32,c(21.03579585, 65.65771743)
48304850,3.6,4.51,NA,425.9,NA,28.2,11.4,464.7,NA,NA,235,"C22","C","U420",0.061,0.02,c(21.35065393, 66.38741655)
48322710,6.2,6.63,18.79,14.7,NA,92.7,1.8,331.6,NA,NA,198,"B13","B","U111",1.287,0.08,c(16.76146998, 47.29349658)
48323286,5,5.41,14.55,6.6,1,45.1,0.8,135.6,0.5,1.6,151,"B22","B","U111",1.045,0.05,c(17.53070679, 52.44509626)
48323862,6,6.25,18.7,101,NA,NA,4.9,73.8,NA,NA,52,"C32","C","U120",0.6005,0.1,c(18.55562944, 57.58446531)
48342036,7.4,8.13,18.01,27.5,212,NA,1.9,514,NA,NA,198,"B81","B","U111",1.1705,0.17,c(16.10116761, 41.23809221)
48342670,6.5,6.69,10.57,11.1,NA,49.6,1.3,184.3,0.9,2.6,255,"B32","B","U111",1.258,0.05,c(16.74135329, 46.93347395)
48342706,5.6,6.19,6.39,14.8,NA,28.5,1.7,233.3,NA,NA,189,"B11","B","U111",1.359,0.05,c(16.78312171, 47.25601844)
48343344,4.2,4.53,9.45,6.1,1,42.6,0.8,59.7,NA,NA,104,"B55","B","U111",0.9795,0.02,c(17.6501818, 52.96115771)
48344622,3.3,4.09,10.49,156.4,NA,18.4,5.1,100.3,NA,NA,172,"C33","C","U120",0.1945,0.07,c(20.60203164, 64.35262152)
48344758,3.8,4.51,18.01,137.6,NA,34.6,5.5,102,NA,NA,39,"E10","E","U120",0.3425,0.08,c(21.08364095, 65.56300832)
48344784,3.4,4.14,14.53,468.6,NA,17.3,16.7,258.3,NA,NA,144,"C32","C","U120",0.077,0.28,c(21.18134293, 65.79434973)
48344794,3.4,4.11,7.41,76.8,NA,28.7,2.4,78.6,NA,NA,82,"C23","C","U120",0.5205,0.16,c(21.21943254, 65.88332183)
48362026,7,7.3,14.99,36,7,NA,3.3,1220,NA,NA,389,"D20","D","U111",1.005,0.04,c(16.11600579, 41.1465402)
48363340,5.4,5.93,7.93,3.3,NA,55.4,0.4,76.1,NA,NA,137,"B16","B","U111",1.0435,0.05,c(17.6734718, 52.92355093)
48381694,5,5.51,20.3,101.5,1,17.1,4.8,307.8,NA,NA,1767,"C10","C","U120",0.622,0.34,c(15.86310001, 38.1485395)
48383062,6.4,6.85,12.85,13.2,NA,45.3,1.6,95.7,NA,NA,241,"B11","B","U111",1.276,0.06,c(17.29078454, 50.43820463)
48383094,6.6,7.15,16.25,11.3,1,37.9,1.4,220.2,NA,NA,226,"B11","B","U111",1.344,0.07,c(17.33547378, 50.72423215)
48383224,5.9,6.46,6.97,7.3,1,23.5,0.9,43.4,NA,NA,178,"B18","B","U111",1.45,0.14,c(17.52422613, 51.88576741)
48402618,4.7,5.24,9.16,10.2,NA,12.1,1.2,96,1,3.6,240,"B11","B","U111",1.1035,0.07,c(16.75995054, 46.46255175)
48403140,5.4,6.12,10.87,7.6,NA,39.4,0.9,90.6,0.9,2.4,176,"B14","B","U111",1.2235,0.02,c(17.42936807, 51.13349667)
48403162,4,4.66,4.35,8.2,NA,37.1,0.8,45.1,NA,NA,248,"C10","C","U420",1.114,0.11,c(17.46130091, 51.330062)
48403252,4.9,5.68,7.43,11.6,NA,86.3,1.2,111.2,NA,NA,111,"E30","E","U420",1.5375,0.06,c(17.59553619, 52.13398685)
48404692,3.3,3.96,7.18,212.9,NA,12.3,6.6,65.7,NA,NA,89,"C23","C","U120",0.45,0.24,c(20.96862909, 64.96723519)
48421886,6.3,6.87,20.03,52.6,1,11.9,5.5,197.8,NA,NA,1057,"E20","E","U111",0.8905,0.1,c(16.06511759, 39.87995066)
48422020,6.5,7.09,13.92,46.4,1,NA,4.5,973.7,NA,NA,552,"E20","E","U111",1.04,0.02,c(16.18163985, 41.08807938)
48422818,7.2,7.68,28.1,23.6,117,NA,2.7,299,0.9,1.2,157,"B32","B","U111",1.875,0.03,c(17.02470785, 48.25221417)
48423136,3.6,4.33,7.16,41.7,NA,81.9,2.3,33.4,NA,NA,184,"C22","C","U120",1.002,0.03,c(17.45202462, 51.09592879)
48423254,4.9,5.82,6.82,7.1,NA,69.5,0.7,100.5,NA,NA,114,"B21","B","U111",1.44,0.07,c(17.62767085, 52.1499724)
48423448,5.9,6.49,6.21,22.6,NA,19.3,1,284.5,NA,NA,162,"B16","B","U111",0.748,0.08,c(17.93967317, 53.8817503)
48442898,3.9,4.62,6.86,5.5,NA,65.5,0.7,110.9,NA,NA,181,"B32","B","U111",1.432,0.01,c(17.15357907, 48.96635022)
48442996,5.9,6.37,7.83,20.8,1,17.1,2.3,222,NA,NA,604,"B15","B","U111",1.442,0.39,c(17.28378758, 49.84280985)
48443522,4.5,4.92,12.46,9.4,NA,45.6,0.9,86,0.6,1.3,130,"B11","B","U111",1.1415,0.05,c(18.09775908, 54.53998777)
48444854,3.7,4.44,4.4,56.8,NA,13.2,1.7,55.1,NA,NA,207,"C22","C","U120",0.468,0.11,c(21.6730828, 66.40209471)
48462300,6,6.53,6.17,29.2,NA,NA,2.8,191.7,NA,NA,399,"D10","D","U420",0.772,0,c(16.49536351, 43.60417593)
48462686,3.4,4.01,13.85,98.9,NA,47.9,6.1,87.4,NA,NA,238,"C22","C","U120",0.4595,0.36,c(16.91716404, 47.0668822)
48462776,7.6,8.15,30.9,21.8,112,22.3,2,220.2,NA,NA,140,"B13","B","U111",1.277,0.09,c(17.02603165, 47.87283272)
48464702,3.2,4.05,17.08,330.2,NA,14.7,9.6,89.1,NA,NA,69,"C22","C","U120",0.168,0.11,c(21.12959348, 65.04763842)
48464972,3.6,4.56,8.68,451.6,NA,27.5,18.9,200.4,NA,NA,241,"C22","C","U120",0.141,0.17,c(22.2225188, 67.44756318)
48482748,6.4,6.85,9.12,30,NA,72.9,3.2,234.5,NA,NA,120,"B31","B","U111",1.155,0.23,c(17.01818973, 47.62044204)
48483018,5.5,5.99,7.62,27.4,1,23.6,2.8,156.8,NA,NA,665,"E20","E","U111",1.191,0.01,c(17.36943795, 50.03590677)
48483256,3.8,4.45,3.68,9.9,NA,37.3,0.8,21.7,NA,NA,106,"E10","E","U420",1.36,0.02,c(17.71800909, 52.16215988)
48501738,5.8,6.36,31.46,25.5,4,20.6,3.1,180.5,NA,NA,170,"B53","B","U111",0.723,0.05,c(16.03420754, 38.53783343)
48504726,3.2,4.06,4.43,21.1,NA,25.7,0.9,33.5,NA,NA,18,"C22","C","U120",0.736,0.02,c(21.30186614, 65.25525991)
48523134,6.3,6.85,13.31,9.4,NA,30.3,1,118.7,NA,NA,194,"B11","B","U111",1.306,0.19,c(17.59117954, 51.06882589)
48523170,3.7,4.42,6.77,14.6,NA,11.7,1,23.7,1.3,1.6,240,"C32","C","U120",1.0445,0.18,c(17.64463788, 51.39038765)
48523322,6.8,7.24,14.28,9.2,2,65.5,1.1,121.8,NA,NA,139,"B35","B","U111",1.21,0.06,c(17.88096383, 52.747503)
48523386,3.3,4.03,6.08,55.4,NA,22.7,2.6,27.2,NA,NA,122,"C22","C","U120",0.7915,0.03,c(17.98591884, 53.31865493)
48524748,4.3,5.12,8.19,32.8,NA,NA,2,82.9,NA,NA,22,"C21","C","U120",0.6795,0.04,c(21.42706975, 65.44789893)
48524838,3,3.61,9.41,308.3,NA,75.5,7.4,396.3,NA,NA,15,"C22","C","U120",0.092,0.21,c(21.78230634, 66.24773849)
48524866,3.9,4.61,4.56,40.3,NA,30.5,1.7,46.2,NA,NA,294,"C32","C","U120",0.768,0.12,c(21.89788225, 66.49651133)
48524898,3.9,4.65,9.87,455,NA,31.8,12.2,377.4,NA,NA,212,"C21","C","U420",0.11,0.34,c(22.03307797, 66.78078083)
48524982,3.9,4.67,4.04,36.1,NA,22.9,1.4,33.7,NA,NA,269,"C32","C","U120",0.776,0.1,c(22.40464804, 67.52675156)
48542012,7.2,7.52,15.06,26.7,4,NA,2.5,671.4,NA,NA,626,"E20","E","U420",0.98,0.17,c(16.31619222, 41.00705828)
48542026,7.3,8.09,15.82,10.2,15,NA,1.1,823.2,NA,NA,354,"B82","B","U111",0.9825,0.15,c(16.32896665, 41.13317181)
48542772,7.5,7.89,22.3,27,15,31.7,2.6,295.4,1.4,1.2,123,"B32","B","U111",1.134,0.1,c(17.12750635, 47.83014262)
48543070,6.5,7.06,16.11,10.1,2,12,1.3,191.2,NA,NA,239,"B13","B","U111",1.2785,0.06,c(17.52644612, 50.49517735)
48543106,7,7.22,26.3,16.7,2,53.5,2,289.3,NA,NA,194,"B11","B","U111",1.3435,0.01,c(17.57848623, 50.81682709)
48543226,5.5,6.2,12.49,5,3,63.2,0.7,105.7,NA,NA,167,"B13","B","U111",1.3465,0.08,c(17.75857701, 51.88857914)
48543334,7.1,7.69,17.58,8.5,31,13,1.1,134.7,NA,NA,126,"B41","B","U111",1.5615,0.06,c(17.9299244, 52.85265085)
48544698,3.2,4.12,5.74,68,NA,37.4,2.6,47.3,NA,NA,31,"C22","C","U120",0.6095,0.13,c(21.28136064, 65.00051385)
48544798,3.6,4.26,12.19,137.3,NA,31.3,5.8,166.6,NA,NA,16,"C22","C","U120",0.3055,0.11,c(21.66435827, 65.88928017)
48544816,3.9,4.35,106.4,477.7,NA,50.6,32.3,293.8,NA,NA,20,"C10","C","U120",0.131,0.19,c(21.73639515, 66.04921827)
48544950,3.6,4.49,8.14,112.9,NA,24.6,4,92.5,NA,NA,199,"C31","C","U120",0.4005,0.04,c(22.30531217, 67.23942039)
48562914,6.2,6.7,9.38,17.5,NA,32.2,1.9,315,NA,NA,354,"B32","B","U111",1.52,0.28,c(17.33808593, 49.09885315)
48564876,3.9,4.76,3.52,13.5,NA,NA,0.5,23.2,NA,NA,181,"C22","C","U120",0.8825,0.13,c(22.02783352, 66.57913281)
48564930,3.7,4.41,14.55,451.8,NA,29.6,20.3,145.7,NA,NA,223,"C10","C","U120",0.1065,0.24,c(22.26139491, 67.05865208)
48583324,6.7,7.04,13.53,12,1,25.7,1.4,40.7,1.3,1.7,147,"B11","B","U111",1.242,0.08,c(17.97261928, 52.75948217)
48584620,3.8,4.49,24.1,125.5,NA,22.6,5.6,109.1,NA,NA,29,"C21","C","U120",0.223,0.05,c(21.08263343, 64.30136485)
48584908,3.9,4.55,4.05,40.6,NA,37.8,1.5,46.4,NA,NA,181,"C31","C","U120",0.7325,0.16,c(22.20953551, 66.86014488)
48584940,4.2,4.7,3.95,26.7,NA,38.4,1.2,36.9,NA,NA,247,"C22","C","U120",0.7305,0.09,c(22.35072954, 67.14423077)
48603376,5,5.53,10.35,6.8,NA,83.4,0.8,123.5,1.2,9.2,126,"B32","B","U111",1.306,0.02,c(18.08843911, 53.22148232)
48622646,7,7.19,29.1,44,74,16.3,4.6,205.2,NA,NA,136,"C10","C","U120",0.8165,0.12,c(17.0784286, 46.69500225)
48622960,7,7.76,15.25,19.5,22,15.8,1.4,270.7,NA,NA,238,"D10","D","U420",1.207,0.12,c(17.48276193, 49.50471683)
48623122,6,6.51,17.63,14.1,NA,39.7,1.6,206.8,NA,NA,191,"B11","B","U111",1.268,0.06,c(17.71523488, 50.95224458)
48623230,3.7,4.18,3.69,12.4,NA,13.8,0.7,NA,NA,NA,149,"C32","C","U120",1.206,0.07,c(17.88047518, 51.9165903)
48623384,5.2,5.73,12.46,9.6,1,22.3,1.1,94.9,NA,NA,121,"B18","B","U111",1.4625,0.11,c(18.13175313, 53.29084664)
48623474,5,5.48,8.76,9.8,NA,15.6,1.1,47.5,NA,NA,192,"B13","B","U111",1.458,0.1,c(18.2878723, 54.09357479)
48624986,4.2,4.98,6.68,54.7,NA,26.9,2,61.4,NA,NA,234,"C32","C","U120",0.702,0.05,c(22.65147886, 67.54594211)
48644756,3.7,4.25,57.5,437.9,NA,28,19.5,283.6,NA,NA,9,"C31","C","U120",0.095,0,c(21.71160231, 65.5010518)
48662892,7.1,7.58,12.65,14.2,3,NA,1.7,250.2,NA,NA,218,"B11","B","U111",1.5435,0.31,c(17.44458942, 48.89310023)
48664768,3.6,4.29,17.14,450,NA,15.3,17.1,370.7,NA,NA,0,"C32","C","U120",0.0685,0.02,c(21.80129253, 65.60458733)
48664836,3.3,4.26,5.18,32.7,NA,NA,1.4,66.6,NA,NA,180,"C22","C","U120",0.7915,0.2,c(22.07813239, 66.20834263)
48681954,7.4,8.26,12.88,9.4,185,NA,0.9,217.3,NA,NA,376,"B81","B","U111",1.551,0.03,c(16.42791313, 40.4738047)
48683412,4.9,5.61,6.29,6.9,NA,54.1,0.8,104.4,0.8,1.2,136,"B32","B","U111",1.1975,0.05,c(18.26954109, 53.53450901)
48684852,3.5,4.38,4.07,50.8,NA,NA,1.7,33.4,NA,NA,291,"C22","C","U120",0.753,0.21,c(22.18899422, 66.34721871)
48701838,4.4,5.12,8.51,44.9,1,NA,2.4,101.6,NA,NA,1266,"C22","C","U120",0.7695,0.44,c(16.34745141, 39.42617432)
48702630,6.8,7.07,30.2,72.6,8,16.3,7.7,82.4,NA,NA,70,"E20","E","U111",1.108,0.11,c(17.16312338, 46.54478258)
48702840,5.5,6.14,16.81,14.9,NA,40.9,1.7,328.4,NA,NA,201,"B31","B","U111",1.421,0.22,c(17.42908789, 48.42442446)
48702966,6.4,6.87,11.77,15.6,1,29.2,1.7,142.6,1,3.1,283,"B35","B","U111",1.38,0.08,c(17.60112917, 49.55097564)
48703152,5.4,5.76,11.52,10.4,NA,31.9,0.9,99.5,1.4,3.1,231,"B16","B","U111",1.6575,0.04,c(17.8742223, 51.21248885)
48703210,6.4,6.75,25.3,12.7,2,33.2,1.4,124.3,NA,NA,169,"B23","B","U111",1.2425,0.07,c(17.96444667, 51.73026422)
48703278,5.4,5.95,14.12,9.9,NA,40.4,1.2,73.7,NA,NA,142,"B16","B","U111",1.2765,0.05,c(18.07352092, 52.3371267)
48704820,3.5,4.22,11.16,450.4,NA,46.2,19.1,412,NA,NA,104,"C10","C","U120",0.099,0.01,c(22.09801613, 66.06006085)
48722938,6.5,6.91,6.78,10.3,NA,33.2,1.2,148,1.4,1.1,241,"B13","B","U111",1.5195,0.09,c(17.58940879, 49.29885532)
48723124,4.9,5.54,8.36,15.4,NA,21.5,1.7,122.6,NA,NA,198,"B11","B","U111",1.7515,0.07,c(17.85988883, 50.96054871)
48724914,4,4.86,3.01,17.1,NA,25.2,0.8,30.7,NA,NA,190,"C32","C","U120",1.024,0.01,c(22.54751823, 66.89088896)
48724996,3.2,4,10.09,494.4,NA,37.4,16.4,162.4,NA,NA,284,"C22","C","U420",0.111,0.02,c(22.9273598, 67.61797202)
48742590,6.7,7.18,11,16.7,1,24.2,2,89.2,NA,NA,115,"B52","B","U111",1.836,0.07,c(17.16674593, 46.18298221)
48743058,6.1,6.69,9.13,13.2,NA,19.8,1.6,111.3,NA,NA,253,"B11","B","U111",1.2075,0.09,c(17.78917753, 50.36920684)
48743116,3.1,3.98,10.91,115.6,NA,29.3,4.1,70.5,NA,NA,210,"C22","C","U120",0.683,0.08,c(17.8760459, 50.88718365)
48743134,4.2,4.6,13.5,10.8,NA,123.8,1.2,109.7,NA,NA,222,"B16","B","U111",1.178,0.05,c(17.90349556, 51.04790265)
48763252,4.5,4.78,6.96,6.3,NA,67.9,0.8,18.5,NA,NA,137,"E20","E","U111",1.442,0.02,c(18.11849338, 52.09914702)
48763266,4.4,5.13,3.67,7.9,NA,39.3,0.8,NA,NA,NA,0,"E20","E","U111",1.3755,0.01,c(18.14135441, 52.22406125)
48763414,3.6,4.01,12.22,55.9,NA,41.3,3,46.5,NA,NA,133,"C32","C","U120",0.666,0.04,c(18.39300809, 53.54409705)
48781756,5.4,6.02,8.12,25.1,NA,NA,2.1,506.4,NA,NA,629,"C10","C","U120",0.8545,0.11,c(16.36790195, 38.67985815)
48781948,7.4,8.25,18.8,15.7,201,43.5,1.5,455.1,NA,NA,118,"B54","B","U111",1.209,0.24,c(16.53938924, 40.41200704)
48782686,6.7,6.88,20.6,117.1,5,17.4,12.6,429.3,NA,NA,126,"E20","E","U111",0.6785,0.11,c(17.33643573, 47.03922112)
48782830,7.4,7.89,20.9,19.4,28,NA,1.9,182.6,1.1,1.1,137,"B11","B","U111",1.3845,0.03,c(17.52325374, 48.32770319)
48782998,3.7,4.05,8.605,24.2,NA,11.5,1.9,65.25,NA,NA,505,"C33","C","U120",1.0995,0.25,c(17.75711167, 49.82941425)
48801836,4.9,5.38,46.19,38.5,NA,56.7,3.6,404,1.2,1.4,1212,"B21","B","U111",0.8765,0.23,c(16.46084721, 39.40051733)
48802924,4.2,4.71,10.33,41.4,NA,25.4,3,131.3,NA,NA,421,"C21","C","U120",1.0135,0.1,c(17.67917973, 49.16626573)
48803000,6,6.61,8.68,17.9,NA,15,2,101.3,NA,NA,478,"B11","B","U111",1.3925,0.19,c(17.78768116, 49.84538126)
48803078,3.4,4.15,13.39,79.7,NA,34.5,4.6,69.2,NA,NA,239,"C10","C","U120",0.826,0.18,c(17.90310124, 50.54205738)
48803234,5.2,5.8,6.29,8.4,2,57.6,1,127.2,NA,NA,166,"B16","B","U111",1.3115,0.06,c(18.14718554, 51.93453369)
48803330,7,7.37,18.67,13.9,7,37.8,1.6,152.4,NA,NA,112,"B23","B","U111",1.5455,0.03,c(18.30686259, 52.79090774)
48804824,3.8,4.62,4.01,18.7,NA,NA,0.9,28.2,NA,NA,122,"C22","C","U120",0.8265,0.17,c(22.33054615, 66.07974463)
48804914,4.3,4.9,3.72,16.6,NA,26.2,0.8,23.6,NA,NA,197,"C32","C","U120",1.1235,0.17,c(22.7254369, 66.87776614)
48822296,5.7,6.25,11.04,45.4,NA,NA,2.6,223.7,NA,NA,677,"C33","C","U420",0.7795,0.01,c(16.9343925, 43.53920961)
48823118,3,3.59,33,201,NA,33.2,7.3,98.7,NA,NA,206,"C22","C","U120",0.3735,0.11,c(17.9922452, 50.89725305)
48823460,5.6,6.24,5.97,9.9,NA,60.9,1.1,81.3,NA,NA,119,"B51","B","U111",1.1095,0.16,c(18.56595411, 53.94787336)
48843166,4.2,4.41,4.84,4.7,NA,55.6,0.6,29.1,NA,NA,208,"B14","B","U111",1.306,0.03,c(18.09562623, 51.32373039)
48844930,3.3,4.04,5.87,64.8,NA,22.7,1.7,61.4,NA,NA,182,"C22","C","U120",0.744,0.29,c(22.88795735, 67.0129147)
48861746,5,5.51,21.4,65.9,NA,NA,5.1,292.4,NA,NA,1121,"C22","C","U120",0.77,0.11,c(16.45030604, 38.58345978)
48864834,3.6,4.34,8.76,63.4,NA,44,2,125.8,NA,NA,128,"C22","C","U120",0.254,0.12,c(22.50291811, 66.15877656)
48881748,4.8,5.46,6.34,28.7,NA,13.9,1.4,172.7,NA,NA,999,"C10","C","U420",0.865,0.18,c(16.47479835, 38.59999013)
48881820,5.2,5.74,13.4,24.9,NA,29,2.5,697.8,NA,NA,1345,"E30","E","U111",0.8675,0.27,c(16.53854215, 39.24996732)
48882576,5.2,6.16,4.46,9.8,NA,33.4,1.1,148,NA,NA,128,"C10","C","U120",1.4545,0.16,c(17.3300528, 46.04528746)
48883192,4.5,5.17,4.25,12.9,1,45.4,1.6,61.3,NA,NA,159,"B18","B","U111",1.2685,0.06,c(18.19439969, 51.55174292)
48883296,4.2,4.31,5.71,8.4,1,32.2,0.9,13.6,NA,NA,118,"E10","E","U420",1.2665,0.03,c(18.36654402, 52.47945763)
48884898,4.2,4.87,3.72,27.2,NA,NA,1.1,27.3,NA,NA,160,"C32","C","U120",1.057,0.15,c(22.82999369, 66.72270807)
48902764,7.4,8.15,14.89,30.1,187,NA,1.9,157.7,NA,NA,104,"F40","F","U111",1.178,0.09,c(17.59536297, 47.7263464)
48902836,7.3,7.85,17.61,15.2,49,NA,1.5,133.4,0.7,1.2,130,"B41","B","U111",1.503,0.01,c(17.69252093, 48.37024191)
48902848,7.4,7.92,24.9,16.1,70,17.4,1.7,278.8,NA,NA,151,"B16","B","U111",1.431,0.02,c(17.70902136, 48.47752768)
48902970,6.2,6.69,12.22,17.6,1,16.4,2,167.7,NA,NA,287,"E20","E","U111",1.29,0.1,c(17.88198747, 49.56779931)
48903124,3.3,4.26,12.64,62.5,NA,28.5,3,75.3,NA,NA,220,"C22","C","U120",0.713,0.02,c(18.11476041, 50.94290681)
48903214,4.6,5.3,10.08,10.2,NA,76.2,1.1,141.3,0.6,1.7,161,"B11","B","U111",1.211,0.05,c(18.25889174, 51.74600204)
48903376,6.8,7.23,17.41,6.3,1,76.3,0.9,197.7,NA,NA,123,"B11","B","U111",1.324,0.03,c(18.53485692, 53.19066428)
48903448,7.1,7.59,24.5,14.1,100,27.2,1.5,476.4,1.4,1.9,84,"B32","B","U111",1.0465,0.12,c(18.66487488, 53.83238936)
48903466,5.2,5.76,15.91,11.6,1,79.2,1.4,210.1,NA,NA,108,"B11","B","U111",1.279,0.05,c(18.69813198, 53.99278923)
48904906,4.5,5.02,13.42,53.4,NA,30.7,3.4,105.8,NA,NA,132,"C10","C","U120",0.5525,0.25,c(22.91075903, 66.79024261)
48923022,6.5,6.85,20.8,13.6,1,17.5,1.7,117.9,NA,NA,306,"B32","B","U111",1.4345,0.03,c(17.98648934, 50.03030656)
48923094,4.8,5.25,13.73,20.8,NA,30.1,1.3,46.6,NA,NA,220,"C10","C","U120",1.1115,0.07,c(18.09622958, 50.67314096)
48923224,3.5,3.98,4.19,23,NA,12.9,1.1,18.1,NA,NA,172,"C22","C","U120",1.0265,0.03,c(18.3041527, 51.8331718)
48923238,3.6,4.15,2.77,7.1,NA,NA,0.4,11.5,NA,NA,174,"C22","C","U120",1.208,0.04,c(18.32733331, 51.95805136)
48924916,3.5,4.38,8.04,454.2,NA,27.1,14.4,221.1,NA,NA,181,"C22","C","U420",0.0765,0.1,c(23.00125236, 66.87545345)
48924934,4.4,5.11,3.17,16.9,NA,25.9,0.8,35.3,NA,NA,251,"C32","C","U120",1.0705,0.13,c(23.08536266, 67.03485546)
48941776,7.1,7.91,17.89,20.9,96,NA,1.9,362,NA,NA,114,"D10","D","U420",1.3505,0.11,c(16.56788778, 38.84817328)
48941830,5.3,5.78,21.3,75.2,NA,16.4,4.3,330.4,NA,NA,1333,"C32","C","U120",0.64,0.28,c(16.61654355, 39.33550652)
48942888,6,6.55,6.84,19.6,NA,NA,2.2,129.7,NA,NA,416,"E20","E","U111",1.352,0.08,c(17.81889379, 48.83128675)
48942960,5.4,5.94,16.68,16.8,NA,60.3,1.9,352.1,NA,NA,387,"B16","B","U111",1.393,0.13,c(17.92236632, 49.47460652)
48943234,4.8,5.2,10.89,16.4,1,10.3,1.4,18.5,NA,NA,171,"E20","E","U111",1.2805,0.05,c(18.34960377, 51.92032071)
48944890,4.2,4.91,3.34,17.8,NA,NA,0.7,26.4,NA,NA,189,"C32","C","U120",0.9825,0.16,c(22.92586679, 66.64182104)
48962830,7,7.39,12.15,15,4,48.2,1.6,411,NA,NA,163,"B11","B","U111",1.3865,0.07,c(17.76480493, 48.31095431)
48963460,6.7,7.15,19.44,12.9,2,50.7,1.7,209.9,0.5,2.2,63,"B32","B","U111",1.038,0.11,c(18.77777559, 53.93283365)
48964996,4.4,5.02,2.78,13.1,NA,19.7,0.7,21.9,NA,NA,202,"C22","C","U120",1.04,0.05,c(23.47573041, 67.57673681)
48982754,7.4,7.85,23.1,53.7,501,NA,4.8,160.5,NA,NA,118,"E30","E","U120",0.8605,0.1,c(17.68804394, 47.62947139)
48982838,7.4,7.87,19.04,14.4,28,14.9,1.5,181,NA,NA,227,"B11","B","U111",1.5255,0.01,c(17.80274576, 48.38057606)
48983302,4.8,4.91,28.3,6.9,1,38.9,0.9,91.6,NA,NA,138,"B35","B","U111",1.3495,0.11,c(18.52324118, 52.5225455)
49003136,6.3,6.88,10.98,11.8,NA,32.2,1.3,207.2,1.2,1.2,258,"B11","B","U111",1.2055,0.1,c(18.27545927, 51.03993844)
49022788,7.1,7.85,16.7,41.5,182,154.4,3,371.3,NA,NA,110,"B16","B","U111",1.3545,0.02,c(17.78721773, 47.92976795)
49024904,3.4,4.39,13.28,466.2,NA,28.6,26.6,78.2,NA,NA,165,"C22","C","U120",0.1405,0.08,c(23.16690333, 66.7522391)
49024940,3.5,4.36,4.82,46.9,NA,11.1,1.4,65,NA,NA,252,"C22","C","U120",0.899,0.09,c(23.33742359, 67.0708103)
49042854,7.2,7.7,18.5,16.7,18,26.9,1.8,296.1,0.8,1.4,244,"B13","B","U111",1.5205,0.02,c(17.90590567, 48.51784737)
49043232,3.2,3.87,3.6,15.9,NA,NA,0.7,20.6,NA,NA,189,"C22","C","U120",1.126,0.03,c(18.49073322, 51.89212204)
49062684,7.4,7.72,36.2,44.3,93,152.4,4.2,711.1,NA,NA,260,"B16","B","U111",0.8345,0.22,c(17.70032613, 46.99579353)
49062756,7.6,8.22,21,25.7,46,16.9,2.6,247.9,NA,NA,124,"F40","F","U111",1.3155,0.07,c(17.79666362, 47.63983432)
