"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018"
50023446,"PL","PL6","PL62","PL622"
50023768,"LV","LV0","LV00","LV003"
50024284,"FI","FI1","FI19","FI196"
50024562,"FI","FI1","FI1D","FI1D5"
50024584,"FI","FI1","FI1D","FI1D5"
50024598,"FI","FI1","FI1D","FI1D5"
50024652,"FI","FI1","FI1D","FI1D9"
50025016,"FI","FI1","FI1D","FI1D7"
50025210,"FI","FI1","FI1D","FI1D7"
50042692,"HU","HU3","HU33","HU331"
50042998,"PL","PL2","PL21","PL219"
50043106,"PL","PL2","PL22","PL22B"
50043370,"PL","PL9","PL92","PL922"
50043478,"PL","PL6","PL62","PL622"
50043724,"LV","LV0","LV00","LV003"
50044414,"FI","FI1","FI19","FI197"
50044612,"FI","FI1","FI1D","FI1D5"
50044630,"FI","FI1","FI1D","FI1D9"
50044640,"FI","FI1","FI1D","FI1D9"
50045170,"FI","FI1","FI1D","FI1D7"
50061970,"IT","ITF","ITF4","ITF44"
50062694,"HU","HU3","HU33","HU331"
50062712,"HU","HU1","HU12","HU120"
50063132,"PL","PL7","PL71","PL713"
50063150,"PL","PL7","PL71","PL713"
50063158,"PL","PL7","PL71","PL713"
50063180,"PL","PL7","PL71","PL713"
50063194,"PL","PL7","PL71","PL713"
50063216,"PL","PL7","PL71","PL713"
50063258,"PL","PL7","PL71","PL715"
50063302,"PL","PL9","PL92","PL923"
50063312,"PL","PL9","PL92","PL923"
50063330,"PL","PL9","PL92","PL923"
50063396,"PL","PL6","PL62","PL622"
50063500,"PL","PL6","PL62","PL622"
50064428,"FI","FI1","FI19","FI194"
50064620,"FI","FI1","FI1D","FI1D5"
50064868,"FI","FI1","FI1D","FI1D7"
50064890,"FI","FI1","FI1D","FI1D7"
50081966,"IT","ITF","ITF4","ITF45"
50083190,"PL","PL7","PL71","PL713"
50083244,"PL","PL7","PL71","PL715"
50083316,"PL","PL9","PL92","PL923"
50083478,"PL","PL6","PL62","PL622"
50083514,"PL","PL6","PL62","PL622"
50083792,"LV","LV0","LV00","LV003"
50084198,"FI","FI1","FI1C","FI1C1"
50084240,"FI","FI1","FI1C","FI1C1"
50084270,"FI","FI1","FI1C","FI1C1"
50084306,"FI","FI1","FI19","FI197"
50084338,"FI","FI1","FI19","FI197"
50084446,"FI","FI1","FI19","FI194"
50084576,"FI","FI1","FI1D","FI1D5"
50085170,"FI","FI1","FI1D","FI1D7"
50102604,"HU","HU3","HU33","HU331"
50102618,"HU","HU3","HU33","HU331"
