"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
42003608,"Yes",NA,NA,NA,NA,1,167,4.3,4.93,20.8,18,0,23.2,1.6,58,"E20","U350","DK","DK0","DK03","DK032"
42022404,"Yes",NA,NA,NA,NA,1,161,7.5,7.95,22.6,5.8,141,8,1.2,157.6,"B82","U111","IT","ITC","ITC1","ITC18"
42022416,"Yes",NA,NA,NA,NA,1,154,7,7.25,39.1,9.2,27,30.4,1.2,85.6,"B72","U111","IT","ITC","ITC1","ITC18"
42022524,"Yes",6,15,24,61,1,185,4.7,4.84,45.2,34.5,1,10.5,4.3,74.4,"E10","U111","IT","ITC","ITC1","ITC15"
42022728,"Yes",NA,NA,NA,NA,1,165,6.6,6.69,61.2,43.4,5,91.1,4.8,328.4,"B72","U111","DE","DE1","DE13","DE13A"
42022782,"Yes",NA,NA,NA,NA,1,171,4.9,5.2,35.2,31,1,41.6,3.1,85.4,"E20","U111","DE","DE1","DE13","DE136"
42023034,"Yes",NA,NA,NA,NA,1,149,5.1,5.3,10.13,32.3,1,41.4,3.7,183,"E20","U111","DE","DE7","DE72","DE723"
42023304,"Yes",5,4,63,33,1,146,3.6,4.11,13.71,46.8,1,26.5,3.2,51.1,"C10","U120","DE","DE9","DE94","DE948"
42041778,"Yes",NA,NA,NA,NA,1,184,6.5,6.65,8.58,7.4,1,7.6,0.8,86.4,"B12","U111","IT","ITG","ITG2","ITG2C"
42041838,"Yes",NA,NA,NA,NA,1,146,6.1,6.3,16.73,12.4,1,34.8,1.4,237.1,"B54","U111","IT","ITG","ITG2","ITG2B"
42042724,"Yes",NA,NA,NA,NA,1,146,6.4,6.51,50.6,38.4,1,30.4,4.6,143.1,"E20","U111","DE","DE1","DE13","DE13A"
42042930,"Yes",NA,NA,NA,NA,1,150,7.6,7.98,28.8,16.4,105,30.5,1.9,298.4,"B23","U111","DE","DEB","DEB3","DEB34"
42042940,"Yes",NA,NA,NA,NA,2,153,7.6,8,26.9,18.3,135,13.5,1.6,119.2,"B43","U111","DE","DEB","DEB3","DEB31"
42043110,"Yes",NA,NA,NA,NA,1,138,4,4.11,27.9,60.2,1,49.4,4.4,102.6,"C31","U120","DE","DEA","DEA5","DEA5A"
42043120,"Yes",NA,NA,NA,NA,1,150,6.4,6.48,34.4,28.5,2,65.5,3.6,444.3,"E20","U111","DE","DEA","DEA5","DEA57"
42043156,"Yes",NA,NA,NA,NA,1,152,6.9,7.1,35.8,27.1,7,132,3.5,700.7,"B13","U111","DE","DEA","DEA5","DEA5B"
42061858,"Yes",NA,NA,NA,NA,1,142,5.6,5.83,42.1,15.3,0,22.7,1.5,253.2,"B16","U111","IT","ITG","ITG2","ITG28"
42061882,"Yes",NA,NA,NA,NA,1,156,6.8,7.05,22.8,27.2,3,44.3,2.8,662.8,"E20","U111","IT","ITG","ITG2","ITG28"
42061926,"Yes",NA,NA,NA,NA,1,170,5.5,5.81,36.1,34.1,0,14,3.4,222.4,"E20","U111","IT","ITG","ITG2","ITG25"
42061972,"Yes",NA,NA,NA,NA,1,139,7.2,7.68,21,14.5,468,8.8,1.7,396.4,"D20","U112","IT","ITG","ITG2","ITG25"
